hh_size,n_children,region_type,hh_autos,n_emp,dist_to_transit,hh_income,trip_length_km,weight
4,2,metropolitan,3,1,0.05,1817,9.5,0.758190436
1,0,urban,1,1,0.05,1716,14.25,3.819821196
4,2,metropolitan,1,2,0.05,3424,4.75,1.061260076
4,2,metropolitan,1,2,0.05,3424,3.33,0.810774416
3,1,rural,2,2,0.7,2005,85.5,1.886866633
3,1,metropolitan,2,2,0.7,9204,28.5,1.277635705
3,1,metropolitan,2,2,0.7,9204,28.5,1.277635705
2,0,rural,1,1,0.7,1635,5.7,0.446988375
3,1,urban,2,2,0.15,3411,76,1.062580538
3,1,urban,2,2,0.15,3411,35.15,1.494495479
2,0,urban,2,2,0.7,4746,10.45,3.108064939
2,0,urban,2,2,0.7,4746,10.45,3.159930987
2,0,metropolitan,1,1,0.7,2897,3.33,1.719411923
2,0,metropolitan,1,1,0.7,2897,3.33,1.59622657
5,1,metropolitan,4,1,0.15,4599,15.34,0.69086157
5,1,metropolitan,4,1,0.15,4599,0.98,1.091379824
4,2,rural,2,2,0.3,3310,5.7,1.434882034
2,0,urban,2,2,0.3,2892,23.75,5.646667638
4,2,urban,2,2,0.7,3417,6.65,0.631933762
3,0,urban,1,1,0.7,2751,9.5,0.67411062
4,2,urban,2,2,0.7,5015,6.65,0.831337956
3,0,urban,2,2,0.3,3148,3.8,0.672951693
3,0,urban,2,2,0.3,3148,3.14,0.648080158
3,1,urban,3,1,0.3,3233,14.25,1.292578871
4,0,urban,3,2,1.5,5771,4.75,0.550882936
4,0,urban,3,2,1.5,5771,63.18,0.687257035
2,0,metropolitan,0,2,0.7,3159,2.45,0.999541793
3,0,urban,2,3,0.15,4335,61.75,0.848947482
3,0,urban,2,3,0.15,4335,47.5,0.343717205
4,1,metropolitan,2,2,0.7,2054,24.7,1.018997824
4,1,metropolitan,2,2,0.7,2054,23.75,0.706232901
3,0,urban,1,2,0.15,2912,47.5,0.446827403
3,0,urban,1,2,0.15,2912,1.9,0.422636473
1,0,urban,1,1,0.3,1728,7.6,3.048693115
2,0,metropolitan,1,1,0.15,2742,18.05,0.677317483
1,0,rural,2,1,1.5,1039,5.7,4.636959162
2,0,rural,1,1,0.15,2167,0.98,1.450396495
4,2,rural,1,1,0.7,2021,0.98,0.446301816
2,0,metropolitan,2,2,0.7,4170,7.79,0.618055482
1,0,metropolitan,0,1,0.7,1231,3.61,0.609569862
4,1,urban,3,3,0.7,3964,20.9,0.426897918
4,1,urban,3,3,0.7,3964,0.95,0.403785956
4,2,urban,1,1,0.7,2390,10.45,1.041439277
4,1,metropolitan,3,2,0.7,2751,5.7,0.69217939
3,0,metropolitan,2,1,0.7,2211,13.54,0.966907746
2,0,metropolitan,1,1,1.5,2356,13.3,1.837212331
3,0,urban,2,1,0.3,1848,8.55,0.869501023
1,0,metropolitan,2,1,0.05,1153,40.85,1.971677123
5,3,urban,1,1,0.15,3590,11.4,0.631937674
2,0,metropolitan,2,2,0.7,2611,34.2,2.28443251
2,0,metropolitan,2,2,0.7,2611,4.75,2.19335398
2,0,metropolitan,1,2,0.7,2791,20.9,1.438710233
2,0,metropolitan,1,2,0.7,2791,20.9,1.438710233
2,0,metropolitan,1,2,0.7,2791,19.95,1.381349985
2,0,urban,2,2,0.05,4013,5.7,1.492272402
2,0,urban,2,2,0.05,4013,57,1.467778743
2,0,urban,2,2,0.3,3026,45.6,0.709951507
2,0,urban,1,1,0.7,1250,0.98,0.616503299
3,0,metropolitan,3,2,0.15,1823,11.4,0.2719909
4,2,urban,1,2,0.15,3298,3.43,0.455634095
4,2,urban,1,2,0.15,3298,1.47,0.481713748
2,0,metropolitan,1,2,0.15,2804,2.94,3.574350146
4,1,rural,1,2,0.7,1143,10.45,1.450937828
2,0,urban,1,1,0.7,2777,11.4,0.677901806
2,0,urban,1,1,0.7,2777,11.4,0.677901806
2,0,urban,2,2,0.15,3518,16.15,1.153032136
2,0,urban,2,2,0.15,3518,6.65,1.340643496
5,3,urban,2,2,0.05,3620,42.75,0.761276047
2,0,urban,2,1,0.15,3828,19,1.116172308
4,2,urban,1,1,0.3,2356,0.95,1.133268798
4,0,urban,1,1,0.05,1386,3.33,0.392140128
4,1,rural,2,1,0.05,2097,23.75,0.717158307
1,0,metropolitan,1,1,0.7,1172,1.9,2.991677972
2,0,metropolitan,1,2,0.15,3437,15.34,1.081200449
2,0,metropolitan,1,2,0.15,3437,10.45,1.21901028
5,2,metropolitan,2,2,0.3,4568,52.25,0.59236741
5,3,metropolitan,2,1,0.7,4781,3.43,0.566763257
4,1,metropolitan,2,2,0.3,3411,0.49,0.545190345
4,1,metropolitan,2,2,0.3,3411,0.49,0.794274991
4,1,urban,3,3,0.3,6213,7.13,0.376548867
4,1,urban,3,3,0.3,6213,20.9,0.389150903
4,1,urban,3,3,0.3,6213,15.2,0.774775399
2,0,metropolitan,2,2,0.7,2595,5.7,0.594443959
2,0,metropolitan,2,2,0.7,2595,0.98,0.620473685
2,0,metropolitan,2,2,0.7,2595,0.98,0.620473685
2,0,metropolitan,2,1,0.15,1879,8.55,1.154860707
4,0,metropolitan,1,0,0.7,2222,34.2,1.185680544
4,0,metropolitan,1,0,0.7,2222,29.78,1.185680544
2,0,metropolitan,0,2,0.15,2791,8.55,0.748667839
4,2,metropolitan,1,1,0.05,3518,1.96,1.332282078
2,0,metropolitan,1,1,0.7,2764,8.12,1.209083942
2,0,metropolitan,1,2,0.15,7797,96.9,1.087756729
2,0,urban,0,1,0.7,1140,10.83,0.71903435
2,0,urban,0,1,0.7,1140,10.83,1.615798552
3,1,urban,2,3,0.05,2902,23.75,0.84640357
2,0,metropolitan,3,2,0.3,2965,8.55,1.040075328
4,2,urban,1,2,0.7,2080,0.98,0.875831533
4,2,urban,1,2,0.7,2080,23.75,0.861455927
2,0,urban,2,2,1.5,2034,57,0.974141408
2,0,urban,2,2,1.5,2034,4.75,0.958152177
5,3,urban,2,2,0.3,2229,5.7,0.626030932
5,3,urban,2,2,0.3,2229,5.7,0.661863786
1,0,metropolitan,0,1,0.15,1111,5.42,1.094810118
1,0,metropolitan,0,1,0.3,998,10.83,2.854793075
4,2,urban,2,1,0.05,2995,3.33,1.056327127
4,2,urban,2,1,0.3,8505,4.75,0.46974167
2,0,metropolitan,1,2,0.3,3378,4.51,1.121373574
2,0,metropolitan,1,2,0.3,3378,4.51,1.027649237
3,1,metropolitan,1,2,0.05,2184,16.15,1.094505374
1,0,rural,1,1,15,1662,19,1.277082186
3,0,urban,1,1,0.15,2747,0.2,0.943271511
4,2,urban,2,2,0.7,3424,10.45,0.348123317
4,0,urban,2,3,1.5,2686,0.2,0.479923655
4,0,urban,2,3,1.5,2686,23.75,1.085985001
2,0,metropolitan,1,1,0.05,2263,24.7,0.848996067
4,1,metropolitan,2,2,0.7,5452,2.85,0.862313666
4,1,metropolitan,2,2,0.7,5452,4.75,0.870017416
2,0,rural,1,2,3.5,3955,21.85,0.405879325
2,0,rural,1,2,3.5,3955,2.45,0.444268991
2,0,metropolitan,2,2,0.7,4630,3.8,0.52902786
2,0,rural,2,1,0.7,7377,0.98,0.264767903
1,0,metropolitan,1,1,0.15,2353,1.96,5.7358786
4,2,metropolitan,1,1,0.7,2902,19,1.091987279
4,2,metropolitan,1,1,0.7,2902,19,1.135883239
4,2,metropolitan,1,1,0.7,2902,19,1.074796092
3,0,metropolitan,2,2,0.15,2809,9.03,0.422267599
4,0,rural,3,2,0.7,3051,19,0.277660806
4,0,rural,3,2,0.7,3051,28.5,0.238708532
1,0,metropolitan,1,1,0.3,2892,10.93,0.884799021
2,0,urban,1,1,0.15,2720,10.93,0.652908954
3,1,urban,2,2,0.7,5152,23.75,0.91938222
2,0,metropolitan,2,1,0.15,2503,1.9,0.998608341
2,0,metropolitan,1,2,0.15,6409,6.18,1.043135735
2,0,metropolitan,1,2,0.15,4126,18.05,0.553140078
2,0,metropolitan,1,2,0.15,4126,7.22,0.553140078
5,2,rural,2,2,0.05,3635,60.47,0.98116679
5,2,rural,2,2,0.05,3635,17.1,0.82144502
2,0,metropolitan,2,1,0.3,7566,2.71,1.018549703
1,0,metropolitan,0,1,0.3,1674,9.03,3.08923309
4,2,metropolitan,1,2,0.3,3378,15.2,0.629366893
4,2,metropolitan,1,2,0.3,3378,14.25,0.665390691
2,0,rural,2,2,0.7,3974,4.41,0.803045721
3,0,metropolitan,2,3,0.3,3908,9.5,0.872012479
1,0,urban,1,1,0.05,1999,6.65,7.279103885
3,1,urban,1,2,0.3,1536,0.29,1.805471927
3,1,urban,1,2,0.3,1536,0.49,0.763566609
3,1,metropolitan,1,1,0.05,3505,0.49,0.879773238
3,1,metropolitan,1,1,0.05,3505,0.49,0.879773238
3,1,metropolitan,2,2,0.3,4373,5.51,0.739740828
2,0,metropolitan,2,2,0.05,4695,19.95,2.832502562
2,0,metropolitan,2,2,0.05,4695,23.75,1.963111652
3,0,metropolitan,2,1,0.3,7216,19,0.580168842
2,0,metropolitan,2,2,0.05,4568,30.4,2.918020246
2,0,metropolitan,2,2,0.05,4568,52.25,3.03919038
3,0,metropolitan,1,2,0.3,1737,12.35,0.436834996
5,2,urban,2,1,0.15,2874,1.9,1.785758182
5,2,urban,2,1,0.15,2874,1.9,1.785758182
2,0,metropolitan,2,1,0.7,4053,10.45,0.261540589
3,0,metropolitan,1,3,0.05,2818,0.29,1.218946044
5,3,urban,2,1,0.7,2818,71.25,1.269069331
1,0,metropolitan,0,1,0.3,1440,7.22,4.815606271
3,1,urban,3,2,0.3,8092,0.95,0.681054604
3,1,urban,3,2,0.3,8092,0.95,0.681054604
3,1,urban,3,2,0.3,8092,1.43,0.831705148
2,0,urban,2,1,0.15,2057,13.3,1.77030944
2,0,urban,3,2,0.15,2126,38,1.849680657
3,0,metropolitan,3,0,0.7,5037,7.6,2.401543301
3,1,metropolitan,1,2,0.3,1440,1.9,0.701985745
3,0,urban,1,3,0.05,5082,23.75,0.665098128
3,0,urban,1,3,0.05,5082,4.9,0.495187499
3,0,urban,1,3,0.05,5082,54.15,1.112774714
3,1,metropolitan,0,1,0.05,1503,29.78,1.154895261
3,2,rural,1,1,0.3,932,9.5,3.1178884
3,2,rural,1,1,0.3,932,6.65,3.1178884
5,3,metropolitan,0,1,0.05,1296,6.32,0.980462476
2,0,metropolitan,2,1,3.5,2950,11.4,0.477976435
5,3,urban,2,2,0.15,3612,15.2,0.618224394
5,3,urban,2,2,0.15,3612,6.65,0.608077066
2,0,metropolitan,1,1,0.3,3005,58.9,2.003944568
2,0,metropolitan,1,2,0.3,2393,16.25,0.840680271
2,0,metropolitan,1,2,0.3,2393,20.76,0.62331555
4,0,metropolitan,1,2,0.3,2427,3.92,0.651189574
3,2,urban,1,1,0.7,1759,7.6,2.888530761
5,1,metropolitan,2,2,0.05,4322,1.08,0.488971619
5,1,metropolitan,2,2,0.05,4322,33.25,0.469476705
4,0,metropolitan,6,3,0.7,4013,71.25,0.914993603
2,0,urban,2,0,0.15,946,0.39,0.847211427
4,2,urban,1,1,0.3,2892,66.5,1.036347587
3,0,metropolitan,4,3,7.5,3046,9.5,1.22207548
3,0,metropolitan,4,3,7.5,3046,23.75,0.971725681
1,0,metropolitan,0,1,0.7,710,12.64,2.527299515
4,0,metropolitan,3,4,0.7,3728,2.94,0.715869709
4,0,metropolitan,3,4,0.7,3728,13.3,0.687328546
4,0,metropolitan,3,4,0.7,3728,19,1.021235603
4,0,metropolitan,3,4,0.7,3728,8.55,0.846011024
4,0,metropolitan,3,4,0.7,3728,8.55,0.846011024
1,0,urban,1,1,0.7,1976,7.6,2.904643951
4,2,urban,2,2,0.7,3372,12.35,0.623019475
3,2,urban,1,1,0.7,3347,16.15,1.646874608
6,4,metropolitan,2,1,0.3,3088,2.85,0.701248491
4,2,metropolitan,1,2,0.3,3872,14.25,0.386849317
3,1,metropolitan,1,1,0.7,3153,28.12,0.944585658
4,0,urban,4,4,0.05,3187,3.92,0.483868605
4,0,urban,4,4,0.05,3187,6.32,0.966609368
4,0,urban,4,4,0.05,3187,4.75,0.94076361
4,0,metropolitan,2,3,0.15,2090,3.33,0.496362117
4,0,metropolitan,2,3,0.15,2090,33.25,0.288631109
4,0,metropolitan,2,3,0.15,2090,0.49,0.278315407
3,0,urban,4,3,0.7,4952,8.55,0.827062496
3,0,urban,4,3,0.7,4952,8.55,0.827062496
3,0,urban,4,3,0.7,4952,3.8,0.745488481
3,0,urban,4,3,0.7,4952,0.48,0.733252283
3,0,urban,4,3,0.7,4952,0.48,0.733252283
5,3,urban,1,2,1.5,4662,10.2,0.302501831
5,3,urban,1,2,1.5,4662,0.29,0.309340529
4,2,metropolitan,2,1,0.3,4399,7.6,0.742122599
2,0,urban,2,2,0.15,1596,5.7,0.590036739
3,0,urban,2,2,1.5,3010,9.5,0.599870165
3,0,urban,2,2,1.5,3010,28.5,0.624779639
2,0,urban,1,2,0.3,2539,4.75,0.583180777
2,0,urban,1,2,0.3,2539,78.52,0.829764105
4,2,urban,2,1,0.05,3000,3.8,0.999610152
4,2,urban,2,1,0.05,3000,3.8,0.999610152
2,0,metropolitan,1,1,0.3,750,3.8,0.274072113
3,1,metropolitan,1,2,0.3,2511,4.51,1.16495034
3,1,metropolitan,1,2,0.3,2511,23.75,1.16495034
3,0,urban,1,2,0.3,2550,0.49,0.658396959
2,0,rural,1,1,0.15,2008,9.03,1.539672023
4,1,metropolitan,3,3,0.7,2883,11.88,0.437125329
4,1,metropolitan,3,3,0.7,2883,19,0.410939505
4,1,metropolitan,3,3,0.7,2883,18.05,0.852937636
2,0,urban,1,1,0.7,935,0.49,0.473558959
3,0,urban,2,2,1.5,2673,0.98,0.725175526
3,0,urban,2,2,1.5,2673,9.5,0.745540576
4,2,metropolitan,2,2,0.15,4892,6.65,0.684105229
2,0,metropolitan,2,1,0.15,4170,10.45,1.377037881
1,0,metropolitan,1,1,1.5,1200,16.15,2.140141672
2,0,urban,2,2,0.3,3181,3.8,1.029300231
1,0,metropolitan,1,1,0.05,1156,33.25,1.169283791
2,0,metropolitan,1,2,0.15,3385,6.65,0.875260382
2,0,metropolitan,1,2,0.15,3385,6.65,0.875260382
2,0,metropolitan,1,2,0.15,3385,6.65,0.54530919
4,2,metropolitan,1,1,0.05,2313,14.44,0.895643755
4,2,metropolitan,1,2,0.3,4386,4.85,0.350598517
4,2,metropolitan,1,2,0.3,4386,1.96,0.480490144
4,1,metropolitan,1,0,0.7,1686,16.15,1.102775468
3,1,metropolitan,1,1,0.3,2678,22.56,1.805663907
4,2,metropolitan,2,1,0.7,8092,0.1,1.013671246
1,0,rural,1,1,0.05,3010,81.22,5.823437164
4,2,urban,2,2,0.3,4763,2.94,0.517823611
3,1,metropolitan,2,1,0.05,4148,18.05,0.570385748
2,0,urban,2,1,0.15,2292,23.75,0.476864554
4,2,metropolitan,1,2,0.05,2267,3.8,1.520857565
3,0,metropolitan,2,2,0.7,3372,14.25,0.665128942
3,0,metropolitan,2,2,0.7,3372,13.54,0.561946221
2,0,metropolitan,1,0,0.3,1771,11.4,0.394452784
1,0,urban,0,1,0.05,1999,6.77,3.460751738
2,0,metropolitan,0,2,0.15,5452,9.03,0.842867404
4,1,urban,1,2,0.7,3620,16.15,0.936066286
4,1,metropolitan,2,1,0.3,2404,25.65,0.737906475
3,1,urban,1,2,0.7,3334,18.05,0.629349833
4,0,metropolitan,1,1,0.15,2945,3.8,1.165691849
2,0,urban,1,1,0.7,2031,11.4,0.186489019
4,0,metropolitan,4,3,1.5,5583,21.85,0.466385243
4,0,metropolitan,4,3,1.5,5583,21.28,1.263281869
4,0,metropolitan,4,3,1.5,5583,27.08,0.780308474
3,1,urban,1,3,0.7,2729,1.76,0.853247459
3,1,urban,1,3,0.7,2729,1.76,0.853247459
3,1,rural,1,2,0.05,2137,2.71,0.834908229
3,1,rural,1,2,0.05,2137,2.71,0.888490658
4,3,rural,1,1,0.7,1945,0.69,0.382557591
3,0,metropolitan,3,2,0.15,2140,0.76,0.457891489
4,2,metropolitan,2,2,0.15,5105,28.5,1.07557071
4,2,metropolitan,2,2,0.15,5105,14.25,1.066046845
5,3,rural,1,2,1.5,2360,0.98,1.278675722
5,3,rural,1,2,1.5,2360,33.25,1.016654106
5,2,urban,2,5,0.3,3115,10.45,0.356213227
5,2,urban,2,5,0.3,3115,7.6,0.637355413
5,2,urban,2,5,0.3,3115,18.05,0.543710862
5,2,urban,2,5,0.3,3115,54.15,0.543710862
3,1,metropolitan,1,1,0.3,2916,3.8,0.519364611
4,2,metropolitan,1,2,0.15,2603,72.2,1.342143315
3,0,urban,0,3,0.05,981,0.2,0.892834955
1,0,urban,1,1,0.7,1575,7.6,1.770784976
3,0,urban,1,2,0.7,2950,11.4,1.308608699
3,0,urban,1,2,0.7,2950,0.95,0.680566331
2,0,urban,1,1,0.3,1798,5.7,0.442585732
2,0,metropolitan,2,1,0.05,3187,6.65,1.119242507
5,2,urban,3,1,0.15,4524,5.7,0.805577386
3,1,urban,2,1,0.7,2371,15.2,1.837882229
2,0,urban,2,2,0.7,3491,11.4,0.482804781
2,0,urban,2,2,0.7,3491,4.75,0.456666059
4,2,metropolitan,1,2,0.7,2846,19.95,1.086504103
5,1,rural,2,1,0.3,5391,47.5,0.736674658
2,0,urban,1,1,0.05,1005,0.1,1.221660192
2,0,metropolitan,1,2,0.7,2902,11.4,1.276752435
2,0,metropolitan,1,2,0.7,2902,2.71,1.337648265
2,0,metropolitan,1,2,0.05,3984,8.04,1.954703198
4,1,metropolitan,1,2,0.05,3398,1.76,0.262553354
4,1,metropolitan,1,2,0.05,3398,1.57,0.272284839
3,0,metropolitan,1,2,0.3,5082,5.42,0.390690582
3,0,metropolitan,1,2,0.3,5082,7.6,0.590448355
2,0,metropolitan,1,2,0.3,2640,13.54,0.515810815
4,0,urban,1,2,0.05,2720,2.94,0.444310177
2,0,metropolitan,2,1,0.05,3391,16.63,1.708855813
4,1,urban,2,2,1.5,3148,6.65,0.823091892
4,1,urban,2,2,1.5,3148,20.9,1.174195156
2,0,urban,1,2,0.7,2682,9.5,0.714262002
1,0,urban,0,1,0.7,1326,9.03,1.412230887
4,0,rural,2,2,0.3,3192,11.4,0.704894535
4,2,metropolitan,2,2,0.7,2682,19,1.896606512
3,1,metropolitan,1,2,0.7,2823,25.65,1.394341339
3,0,metropolitan,3,2,0.7,4286,24.7,0.380715646
3,0,metropolitan,3,2,0.7,4286,14.25,0.800599295
5,3,urban,1,1,0.15,3547,0.59,0.459768411
4,2,urban,2,2,0.7,1713,8.55,0.536650623
4,2,urban,2,2,0.7,1713,11.4,0.516816622
3,0,urban,2,1,0.3,1996,7.35,0.402921158
3,0,urban,2,1,0.3,1996,27.08,1.091512171
3,0,metropolitan,2,3,0.15,4238,2.85,1.961858067
3,0,urban,3,1,0.3,3417,7.6,0.687875089
2,0,metropolitan,1,1,0.05,2760,3.43,1.036184425
1,0,metropolitan,0,0,0.7,1798,1.96,1.731647716
3,1,rural,1,2,0.3,2397,0.59,1.109675569
3,1,rural,1,2,0.3,2397,0.78,1.154801818
5,1,rural,3,4,0.7,3575,23.75,1.686128747
5,1,rural,3,4,0.7,3575,0.48,1.604057766
4,2,urban,2,1,0.7,3353,4.75,1.190907303
2,0,urban,1,1,0.3,1428,5.7,0.790084208
4,1,metropolitan,2,3,0.05,6740,28.5,0.425736504
4,1,metropolitan,2,3,0.05,6740,15.2,0.408762723
4,1,metropolitan,2,3,0.05,6740,22.56,0.595516798
3,1,metropolitan,2,2,0.05,3334,53.2,2.077468366
3,1,metropolitan,2,2,0.05,3334,53.2,1.236623034
3,0,urban,3,2,0.3,4360,4.75,1.695586082
1,0,metropolitan,0,1,0.15,1049,4.51,4.997120198
1,0,urban,1,1,0.3,967,2.85,4.320587284
2,0,urban,3,2,0.3,3244,14.25,0.532329242
4,0,metropolitan,2,2,0.15,3532,7.35,0.71620602
4,0,metropolitan,2,2,0.15,3532,7.6,1.043423707
1,0,metropolitan,0,1,0.7,854,1.96,1.822656972
4,0,metropolitan,2,1,0.05,1596,5.7,0.551017513
2,0,metropolitan,2,2,0.15,3855,7.6,0.449220337
2,0,metropolitan,2,2,0.15,3855,15.2,0.487815612
1,0,urban,1,1,0.3,2531,16.15,5.25947458
2,0,metropolitan,2,2,0.05,3341,13.3,1.47305427
2,0,metropolitan,2,2,0.05,3341,9.5,0.702676377
1,0,metropolitan,1,1,0.05,2678,5.7,3.716819831
2,0,rural,1,2,0.7,1626,3.92,3.249019318
2,0,metropolitan,1,1,0.15,7377,3.33,0.601587089
2,0,metropolitan,1,1,0.15,7377,3.33,0.635118624
2,0,urban,1,2,0.7,3464,3.04,0.204769026
2,0,urban,1,2,0.7,3464,3.04,0.197200994
2,1,urban,1,1,0.05,1584,23.75,0.982500118
5,3,metropolitan,2,1,0.7,4335,48.64,0.382141543
4,2,metropolitan,1,2,0.7,2738,18.05,0.87002431
2,0,urban,1,1,0.3,3457,2.66,1.747439001
4,2,urban,1,1,0.05,2751,2.38,0.589611
2,0,metropolitan,1,1,0.15,1857,23.75,1.427752479
2,0,metropolitan,2,1,0.15,2855,15.2,3.106479309
2,0,urban,1,2,0.7,2791,57,0.242576815
3,0,urban,2,3,0.3,2054,9.5,0.721711308
3,0,urban,2,3,0.3,2054,0.98,0.733754915
5,1,metropolitan,2,2,0.05,1530,33.25,1.3134111
5,1,metropolitan,2,2,0.05,1530,0.78,0.986192684
2,0,urban,2,2,0.7,4286,57,1.181716108
2,0,urban,2,2,0.7,4286,53.2,0.513580845
4,0,urban,3,3,0.7,4310,17.1,0.60264553
4,0,urban,3,3,0.7,4310,17.1,0.632755679
1,0,metropolitan,1,1,0.7,1042,10.45,2.000158111
4,0,metropolitan,4,2,0.7,3769,8.55,0.506076489
3,1,metropolitan,2,1,0.05,3484,23.75,0.457873678
2,0,metropolitan,1,2,0.05,4583,5.7,1.05085667
2,0,metropolitan,1,2,0.05,4583,3.8,1.086025899
3,0,metropolitan,2,1,0.05,2878,6.18,7.801529369
3,0,urban,3,1,0.15,4053,22.8,0.412018884
2,0,metropolitan,1,2,0.3,2813,4.51,0.702676377
2,0,metropolitan,1,2,0.3,2813,13.3,0.729643163
2,0,metropolitan,1,1,0.15,2044,31.59,0.633810803
2,0,metropolitan,1,1,0.15,2044,31.59,0.66905509
2,0,metropolitan,2,1,0.15,4105,31.35,1.091533571
4,1,metropolitan,0,1,0.3,1371,0.98,0.792224498
4,1,metropolitan,0,1,0.3,1371,4.51,0.77922119
3,0,rural,2,1,0.3,3984,2.38,0.42597633
3,0,rural,2,1,0.3,3984,2.85,0.42597633
2,0,metropolitan,1,1,0.7,2469,12.64,0.502165106
3,1,metropolitan,2,2,0.15,4053,18.05,1.480284204
3,1,metropolitan,2,2,0.15,4053,24.7,1.152908401
3,0,metropolitan,0,1,0.15,1728,19.86,0.435118487
2,0,urban,1,2,0.15,4662,27.98,1.120744658
2,0,urban,1,2,0.15,4662,12.35,1.015588409
4,0,urban,4,3,0.15,6740,38.95,0.823106271
4,0,urban,4,3,0.15,6740,3.8,0.349933645
4,0,urban,4,3,0.15,6740,8.55,0.350701372
4,0,metropolitan,4,2,0.7,3908,23.75,0.972357655
5,3,urban,1,2,0.7,4226,23.75,0.961329321
4,0,rural,4,2,0.05,2657,2.85,1.023859295
4,0,rural,4,2,0.05,2657,4.75,0.962113156
2,0,rural,1,2,3.5,3404,45.6,1.307323911
2,0,rural,1,2,3.5,3404,11.4,1.3190033
1,0,metropolitan,0,1,0.3,1941,13.54,3.629225314
3,0,metropolitan,3,2,0.7,5583,5.7,0.754826951
4,2,metropolitan,0,4,0.05,4126,90.25,0.293854215
2,0,urban,2,2,0.3,4043,26.6,1.707020523
2,0,urban,2,2,0.3,4043,52.25,1.407714585
2,0,urban,2,1,0.3,3026,34.2,1.035239059
2,0,urban,1,1,0.15,1416,47.5,0.961615092
4,2,metropolitan,2,1,0.3,3341,14.25,1.7612219
3,0,metropolitan,2,1,0.15,4568,2.94,0.678847978
2,0,urban,3,2,0.7,6409,0.1,0.2701932
2,0,urban,3,2,0.7,6409,0.1,0.2701932
2,0,metropolitan,1,1,1.5,3597,6.65,0.954715055
2,0,metropolitan,2,2,0.7,8505,21.85,1.438876669
2,0,metropolitan,2,2,0.7,8505,38,1.104049974
5,3,urban,2,2,0.7,2204,8.55,0.868642757
3,0,urban,2,3,0.3,3761,4.75,0.991646152
4,2,rural,1,1,0.15,2519,23.75,1.092463668
2,1,urban,1,1,1.5,1976,0.98,1.632540892
3,1,metropolitan,1,2,0.15,2623,2.85,0.885741262
3,1,metropolitan,1,2,0.3,7566,14.25,0.48987121
3,0,urban,2,2,0.7,2180,0.49,1.058238112
2,0,metropolitan,1,2,0.05,1656,5.7,1.324055675
2,0,metropolitan,1,2,0.05,1656,6.32,1.372411105
2,0,urban,1,2,0.7,2595,0.29,1.850363135
2,0,urban,2,1,0.15,2673,36.1,1.045908713
2,0,rural,2,2,0.7,3153,21.85,0.539504108
2,0,rural,2,2,0.7,3153,49.4,0.566075107
3,0,metropolitan,1,1,0.7,6274,5.42,0.841742709
5,2,urban,0,1,1.5,2008,2.45,0.45425712
5,2,urban,0,1,1.5,2008,27.08,0.415004371
2,0,urban,1,2,0.7,1935,2.45,1.085146492
2,0,urban,1,2,0.7,1935,2.45,1.085146492
4,0,rural,3,4,0.7,2260,61.37,0.652777031
4,0,rural,3,4,0.7,2260,17.1,0.546072235
5,3,urban,3,2,0.7,2453,41.8,0.676638234
4,0,rural,3,1,0.7,3769,23.75,0.765065108
4,0,rural,3,1,0.7,3769,21.85,1.152721029
2,0,urban,1,2,0.7,3334,2.94,0.92149416
2,0,urban,1,2,0.7,3334,15.2,0.778541014
2,0,metropolitan,1,2,0.15,5731,11.73,2.212211067
2,0,metropolitan,1,2,0.15,5731,11.73,2.198292487
2,0,metropolitan,1,1,0.15,2031,13.54,1.596834624
2,0,metropolitan,1,1,0.15,3411,4.75,0.85282201
2,0,urban,2,2,0.05,1759,6.65,1.64532216
2,0,urban,2,2,0.05,1759,42.75,1.546759774
2,0,metropolitan,1,1,0.05,664,6.65,0.837615327
2,0,urban,2,1,0.7,4286,13.3,1.176637854
4,1,urban,2,2,0.7,3575,14.25,0.836543259
4,1,urban,2,2,0.7,3575,1.96,0.832695542
4,1,urban,2,2,0.7,3575,52.25,1.110506895
3,1,urban,1,2,0.15,3244,8.82,1.197442126
1,0,rural,1,1,0.7,2208,14.25,4.595502995
3,1,urban,1,1,0.7,2397,33.25,1.283869953
1,0,metropolitan,0,1,0.15,2143,3.43,1.790939084
2,0,urban,1,2,0.05,3304,20.58,1.483674339
1,0,metropolitan,1,1,0.7,1410,4.75,4.934883774
1,0,urban,1,1,0.3,1290,1.43,10.38896738
3,0,urban,1,3,0.3,2729,15.2,0.622670121
3,0,urban,1,3,0.3,2729,9.03,0.582889594
4,2,urban,1,2,0.05,2442,7.6,0.662419277
1,0,urban,1,1,0.05,1551,4.75,1.818427257
2,0,urban,1,2,3.5,2236,1.96,0.922957669
2,0,urban,1,1,0.7,1689,36.1,1.00204871
3,0,metropolitan,0,1,0.05,1533,0.59,0.632096601
2,0,metropolitan,1,1,0.05,1209,0.2,0.508447652
2,0,metropolitan,1,1,0.05,1209,14.25,0.36326393
3,1,rural,1,2,0.7,2034,12.35,1.982441651
3,0,metropolitan,2,1,0.05,3568,0.98,1.061934034
1,0,metropolitan,1,1,0.3,2073,7.6,0.895785423
3,0,metropolitan,3,1,0.7,3010,10.45,0.917366626
2,0,metropolitan,1,1,0.15,7566,5.42,1.03338847
4,2,urban,1,2,0.3,3298,1.37,1.078404411
1,0,metropolitan,1,1,0.3,2356,23.75,3.071176307
3,0,metropolitan,2,2,0.7,3250,0.49,0.321065935
1,0,urban,1,1,0.3,3227,8.55,1.998416304
